starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 10 22:31:08 2024	1726007468	5	8	13	8
Tue Sep 10 22:31:08 2024	1726007468	5	8	13	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	14	9
Tue Sep 10 22:31:08 2024	1726007468	6	8	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	14	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	8	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	8
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	15	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	15	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	15	10
Tue Sep 10 22:31:08 2024	1726007468	6	9	15	9
Tue Sep 10 22:31:08 2024	1726007468	7	8	16	8
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	7	10	16	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	6	11	16	10
Tue Sep 10 22:31:08 2024	1726007468	7	9	16	9
Tue Sep 10 22:31:08 2024	1726007468	7	10	16	10
Tue Sep 10 22:31:08 2024	1726007468	7	9	17	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	6	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	7	10	17	9
Tue Sep 10 22:31:08 2024	1726007468	6	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	7	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	8	8	17	8
Tue Sep 10 22:31:08 2024	1726007468	7	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	7	11	17	11
Tue Sep 10 22:31:08 2024	1726007468	7	10	17	10
Tue Sep 10 22:31:08 2024	1726007468	6	12	17	12
Tue Sep 10 22:31:08 2024	1726007468	6	11	17	11
Tue Sep 10 22:31:08 2024	1726007468	6	12	17	12
Tue Sep 10 22:31:08 2024	1726007468	6	12	18	11
Tue Sep 10 22:31:08 2024	1726007468	6	12	18	12
Tue Sep 10 22:31:08 2024	1726007468	6	12	18	12
Tue Sep 10 22:31:08 2024	1726007468	8	10	18	10
Tue Sep 10 22:31:08 2024	1726007468	6	12	18	12
Tue Sep 10 22:31:08 2024	1726007468	6	12	18	12
Tue Sep 10 22:31:08 2024	1726007468	11	8	19	8
Tue Sep 10 22:31:08 2024	1726007468	10	9	19	9
Tue Sep 10 22:31:08 2024	1726007468	7	13	20	13
Tue Sep 10 22:31:08 2024	1726007468	6	14	20	14
